aacikrtu	autarkic
aadeemot	oedemata
dgiinoww	widowing
eiillt	illite
eiills	lilies
aceflmno	flamenco
aehijr	hejira
cinooopt	cooption
iilps	pilis
ehiklmny	hymnlike
abgllo	global
degillnw	dwelling
degillnu	duelling
aemmnrtu	ramentum
eiilln	nielli
cgllosy	glycols
acijsuzz	jacuzzis
aafilstt	fatalist
aerrv	raver
aciklmot	mocktail
abehrrs	brasher
aadkrww	awkward
eeiklnst	nestlike
ahimnot	manihot
eeiklnss	likeness
eeehirsx	hexereis
abdemort	bromated
cfhortu	futhorc
aaagglln	galangal
abcepssu	subspace
ehjorss	joshers
cdehipt	pitched
cceiklr	clicker
eoorrt	torero
cdehipp	chipped
emrsu	serum
cdehipr	chirped
efiknr	knifer
dginsu	dingus
cekooprs	precooks
ehmssuu	humuses
efloosst	footless
ceiisvv	civvies
deorrsw	rewords
itvy	tivy
ceiklnrs	crinkles
dginsy	dyings
abdeiil	alibied
abefflr	baffler
deorrsu	ordures
anosxy	saxony
giknopst	kingpost
dhinsy	shindy
adgilmor	marigold
cddeillo	collided
eegmnttu	tegument
acisttu	catsuit
ehort	throe
egmnors	morgens
ehorv	hover
aceorrt	reactor
eeelmott	omelette
deiott	toited
denoprsu	pounders
denoprst	protends
denoprss	responds
ciimnos	miscoin
aeilprxy	pyrexial
ahrrsuy	hurrays
afilnort	inflator
ahilsst	tahsils
flrsttuu	trustful
aacglost	catalogs
agginnpr	pranging
ainrss	sarins
ackloopw	woolpack
bggilnnu	bungling
ainrst	trains
ffos	offs
ainrsv	ravins
adelmsw	wadmels
adffry	draffy
degiiitz	digitize
adehlty	deathly
aegllory	allegory
adffrs	draffs
aegiklns	snaglike
benntu	unbent
aegllors	allegros
aegiklnw	weakling
emopptu	uptempo
adelmst	malteds
aemorrsw	earworms
aemorrsv	overarms
abbcsy	scabby
aemorrst	rearmost
cdehnru	churned
aagmnprs	pangrams
aemorrsy	rosemary
deensux	unsexed
aceehks	hackees
acefipry	repacify
aceehko	hoecake
ceklru	ruckle
eeffsu	effuse
